CompanyName,Identifier,Industry
Stanley Black & Decker,NYSE:SWK,Power Tools & Outdoor Power Equipment
Techtronic Industries,SEHK:669,Power Tools & Outdoor Power Equipment
Chervon,SEHK:2285,Power Tools & Outdoor Power Equipment
Hilti,4165638,Power Tools & Outdoor Power Equipment
Husqvarna,OM:HUSQ B,Power Tools & Outdoor Power Equipment
Makita,TSE:6586,Power Tools & Outdoor Power Equipment
Einhell Germany,XTRA:EIN,Power Tools & Outdoor Power Equipment
Metabo,6336123,Power Tools & Outdoor Power Equipment
Yamabiko,TSE:6250,Power Tools & Outdoor Power Equipment
Snap-on,NYSE:SNA,Power Tools & Outdoor Power Equipment
Greenworks,SZSE:301260,Power Tools & Outdoor Power Equipment
