zip,lat,lon
38503,36.16318,-85.505716
10169,40.754515,-73.976393
19109,39.949652,-75.163654
21287,39.29916,-76.588327
38550,35.7698,-85.632721
47870,39.370152,-87.473514
70163,29.949981,-90.075462
70629,30.231071,-93.21864
80293,39.746079,-104.98972
97258,45.513258,-122.675435
20390,38.879019,-76.993695
37929,35.962404,-83.915969
47033,39.282202,-85.175385
59623,46.589915,-112.040677
75270,32.78126,-96.801922
98154,47.606211,-122.333792
04234,44.616266,-70.193834
05481,44.808335,-73.139602
18627,41.315591,-76.022356
20661,38.263698,-76.848986
22908,38.030979,-78.496585
28758,35.374886,-82.495691
37238,36.165697,-86.779462
37450,35.048966,-85.312169
39269,32.30114,-90.188903
47021,38.970151,-85.148555
47435,39.265756,-86.295158
70825,30.451972,-91.187756
91046,34.211677,-118.240922
36101,32.381774,-86.297649
47875,39.71447,-87.522214
84138,40.766735,-111.887272
28282,35.224815,-80.845277
34487,28.781477,-82.612719
47434,39.012767,-86.545689
33022,26.013848,-80.144066
45501,39.926336,-83.807448
95929,39.725787,-121.850213
04286,44.403191,-70.860193
35249,33.506573,-86.80316
46945,41.121096,-86.38516
47457,38.911834,-86.904716
52344,42.292007,-91.683283
76203,33.212131,-97.151813
79402,33.581238,-101.842013
83720,43.617707,-116.199731
02203,42.361445,-71.059453
16550,42.133783,-80.084949
31213,32.840081,-83.63935
31753,31.200446,-83.872846
45423,39.760399,-84.191116
68183,41.257093,-95.939786
89450,39.241348,-119.938309
90079,34.040587,-118.255404
18012,40.811314,-75.591615
18195,40.584272,-75.624789
27697,35.778803,-78.622967
32013,30.193666,-83.291204
43047,40.207958,-83.637975
28509,35.145759,-76.805927
33550,27.979504,-82.307012
44630,40.92694,-81.404064
45105,38.750434,-83.612373
46624,41.702511,-86.251633
63850,36.822362,-89.782141
72387,35.315679,-90.772679
01525,42.098995,-71.642964
13645,44.30878,-75.446555
30090,33.953141,-84.548159
45119,38.878121,-83.999247
14302,43.093896,-79.049193
32723,29.034536,-81.304522
33101,25.779764,-80.198763
35573,33.901324,-87.549994
46047,40.284181,-85.947381
48243,42.329948,-83.039531
95435,39.003149,-122.874798
99513,61.214772,-149.885658
10503,41.026556,-73.87531
28355,35.390535,-79.19515
42444,37.641551,-87.645554
49258,42.059989,-84.658414
85721,32.231069,-110.949568
05485,44.904048,-72.97568
46206,39.760267,-86.161071
46502,41.261016,-85.976594
96858,21.344563,-157.883446
98559,46.958822,-123.327364
05664,44.167124,-72.653179
43117,39.768736,-83.206074
84322,41.758224,-111.812556
14515,43.252837,-77.731642
27202,36.18558,-79.506028
44901,40.763934,-82.512509
47467,38.767697,-86.344469
63962,36.844028,-90.281507
75711,32.336975,-95.283818
77341,30.69825,-95.55896
95309,37.87142,-120.432387
11424,40.713968,-73.828087
12082,42.769967,-73.446682
17504,40.024472,-76.328494
56030,44.324821,-94.604835
95486,38.474137,-123.024203
32775,28.767044,-80.876699
40058,38.432649,-85.170003
46155,39.743565,-85.429499
65623,36.748889,-93.906575
83354,43.670143,-114.32231
17010,40.278117,-76.583356
17507,40.198053,-76.01624
32959,28.445127,-80.763703
40363,38.514407,-85.009763
43032,40.328595,-82.958098
43439,41.517587,-83.042752
45624,39.173003,-83.348687
47851,39.573584,-87.245956
65801,37.21421,-93.295218
90747,33.863785,-118.251354
01144,42.101894,-72.590907
