dealer_id,name,website,street,street2,zip,city,province,country,phone,email,fax,mobile,latitude,longitude,distance_m,rank,retailer_types,premium_partner,expert,premium_flagship,delivery_types,payment_methods,open_now,closes_at,benefits,badges,shop_hours,service_hours,found_via_query
C252166,Kemmler Baustoffe GmbH,,Auerstraße 3,,79108,Freiburg,,de,7612173690,baustoffe-freiburg@kemmler.de,,,48.031599,7.853993,199186,,regular_dealer,False,True,True,,,False,,,expert-powertools; flagship-store; premium-partner; regular-dealer,,,"47.20000,5.50000"
C000825,Schachenmeier GmbH,,Im Martelacker 8,,79588,Efringen-Kirchen,,DE,+4976281206,,,,47.65516,7.57427,164027,,regular_dealer,True,True,False,,,False,,,construction; credit-card; expert-powertools; express; invoice; offline-traditional-trade; pickup; premium-partner; regular-dealer,Mo: |07:30 - 12:30 Uhr und 14:00 - 17:00 Uhr | Di: |07:30 - 12:30 Uhr und 14:00 - 17:00 Uhr | Mi: |07:30 - 12:30 Uhr und 14:00 - 17:00 Uhr | Do: |07:30 - 12:30 Uhr und 14:00 - 17:00 Uhr | Fr: |07:30 - 12:30 Uhr und 14:00 - 17:00 Uhr | Sa: |08:30 - 12:30 Uhr,Mo: |07:30 - 12:30 Uhr und 14:00 - 17:00 Uhr | Di: |07:30 - 12:30 Uhr und 14:00 - 17:00 Uhr | Mi: |07:30 - 12:30 Uhr und 14:00 - 17:00 Uhr | Do: |07:30 - 12:30 Uhr und 14:00 - 17:00 Uhr | Fr: |07:30 - 12:30 Uhr und 14:00 - 17:00 Uhr | Sa: |08:30 - 12:30 Uhr,"47.20000,5.50000"
C045212,Götz + Moriz GmbH,https://www.goetzmoriz.com/,Neuenburger Straße 3,,79379,Müllheim,,DE,+49763118083300,muellheim@goetzmoriz.com,,,47.81044,7.5977,171550,,regular_dealer,True,True,False,,,False,,,construction; credit-card; expert-powertools; express; invoice; offline-traditional-trade; pickup; premium-partner; regular-dealer,Mo: |07:00 - 17:30 Uhr | Di: |07:00 - 17:30 Uhr | Mi: |07:00 - 17:30 Uhr | Do: |07:00 - 17:30 Uhr | Fr: |07:00 - 17:30 Uhr | Sa: |08:00 - 12:00 Uhr,Mo: |07:00 - 17:30 Uhr | Di: |07:00 - 17:30 Uhr | Mi: |07:00 - 17:30 Uhr | Do: |07:00 - 17:30 Uhr | Fr: |07:00 - 17:30 Uhr | Sa: |08:00 - 12:00 Uhr,"47.20000,5.50000"
C045208,Götz + Moriz GmbH,https://www.goetzmoriz.com/,Wiesentalstraße 74,,79539,Lörrach,,DE,+49762140073100,loerrach@goetzmoriz.com,,,47.62139,7.65552,168820,,regular_dealer,True,True,False,,,False,,,construction; credit-card; expert-powertools; express; invoice; offline-traditional-trade; pickup; premium-partner; regular-dealer,Mo: |07:00 - 18:00 Uhr | Di: |07:00 - 18:00 Uhr | Mi: |07:00 - 18:00 Uhr | Do: |07:00 - 18:00 Uhr | Fr: |07:00 - 18:00 Uhr | Sa: |08:00 - 13:00 Uhr,Mo: |07:00 - 18:00 Uhr | Di: |07:00 - 18:00 Uhr | Mi: |07:00 - 18:00 Uhr | Do: |07:00 - 18:00 Uhr | Fr: |07:00 - 18:00 Uhr | Sa: |08:00 - 13:00 Uhr,"47.20000,5.50000"
C045224,Hans Quabeck Holzgrosshandel GmbH,https://www.quabeck-holz.de/,Grüttweg 3,,79359,Lörrach,,DE,+49762115144050,info@quabeck-holz.de,,,47.624842,7.65987,169236,,regular_dealer,True,True,False,,,False,,,construction; credit-card; expert-powertools; express; invoice; offline-traditional-trade; pickup; premium-partner; regular-dealer,Mo: |07:30 - 17:00 Uhr | Di: |07:30 - 17:00 Uhr | Mi: |07:30 - 17:00 Uhr | Do: |07:30 - 17:00 Uhr | Fr: |07:30 - 17:00 Uhr | Sa: |08:30 - 12:00 Uhr,Mo: |07:30 - 17:00 Uhr | Di: |07:30 - 17:00 Uhr | Mi: |07:30 - 17:00 Uhr | Do: |07:30 - 17:00 Uhr | Fr: |07:30 - 17:00 Uhr | Sa: |08:30 - 12:00 Uhr,"47.20000,5.50000"
C042432,Raab Karcher Baustoffhandel,http://www.raabkarcher.de/hartheim,Feldkircher Str. 101,,79258,Hartheim,,DE,,,,,47.93602,7.6348,179844,,BUILDING_CONSTRUCTION; regular_dealer,True,True,False,,,False,,,excellence-partner; expert-powertools; offline-traditional-trade; premium-partner; regular-dealer,Mo: |07:30 - 12:00 Uhr und 13:00 - 17:00 Uhr | Di: |07:30 - 12:00 Uhr und 13:00 - 17:00 Uhr | Mi: |07:30 - 12:00 Uhr und 13:00 - 17:00 Uhr | Do: |07:30 - 12:00 Uhr und 13:00 - 17:00 Uhr | Fr: |07:30 - 12:00 Uhr und 13:00 - 17:00 Uhr | Sa: |08:30 - 12:00 Uhr,Mo: |07:30 - 12:00 Uhr und 13:00 - 17:00 Uhr | Di: |07:30 - 12:00 Uhr und 13:00 - 17:00 Uhr | Mi: |07:30 - 12:00 Uhr und 13:00 - 17:00 Uhr | Do: |07:30 - 12:00 Uhr und 13:00 - 17:00 Uhr | Fr: |07:30 - 12:00 Uhr und 13:00 - 17:00 Uhr | Sa: |08:30 - 12:00 Uhr,"47.20000,5.50000"
C042500,Raab Karcher Baustoffhandel,http://www.raabkarcher.de/rheinfelden-herten,Gewerbestraße 29,,79618,Rheinfelden-Herten,Baden-Württemberg,DE,+497623797780,rheinfelden@raabkarcher.de,,,47.546394,7.733387,172520,,BUILDING_CONSTRUCTION; regular_dealer,True,True,False,,,False,,,construction; credit-card; expert-powertools; express; invoice; offline-traditional-trade; pickup; premium-partner; regular-dealer,Mo: |07:00 - 17:30 Uhr | Di: |07:00 - 17:30 Uhr | Mi: |07:00 - 17:30 Uhr | Do: |07:00 - 17:30 Uhr | Fr: |07:00 - 17:30 Uhr | Sa: |08:00 - 13:00 Uhr,Mo: |07:00 - 17:30 Uhr | Di: |07:00 - 17:30 Uhr | Mi: |07:00 - 17:30 Uhr | Do: |07:00 - 17:30 Uhr | Fr: |07:00 - 17:30 Uhr | Sa: |08:00 - 13:00 Uhr,"47.20000,5.50000"
C045213,Götz + Moriz GmbH,https://www.goetzmoriz.com/,Freiburger Straße 23,,79189,Bad Krozingen,,DE,+49763392833340,krozingen@goetzmoriz.com,,,47.922127,7.70654,183992,,regular_dealer,True,True,False,,,False,,,construction; credit-card; expert-powertools; express; invoice; offline-traditional-trade; pickup; premium-partner; regular-dealer,Mo: |07:00 - 17:30 Uhr | Di: |07:00 - 17:30 Uhr | Mi: |07:00 - 17:30 Uhr | Do: |07:00 - 17:30 Uhr | Fr: |07:00 - 17:30 Uhr | Sa: |08:00 - 12:00 Uhr,Mo: |07:00 - 17:30 Uhr | Di: |07:00 - 17:30 Uhr | Mi: |07:00 - 17:30 Uhr | Do: |07:00 - 17:30 Uhr | Fr: |07:00 - 17:30 Uhr | Sa: |08:00 - 12:00 Uhr,"47.20000,5.50000"
C045207,Götz + Moriz GmbH,https://www.goetzmoriz.com/,Basler Landstraße 28,,79111,Freiburg im Breisgau,,DE,+497614970,freiburg@goetzmoriz.com,,,47.98296,7.80506,193525,,regular_dealer,True,True,False,,,False,,,construction; credit-card; expert-powertools; express; invoice; offline-traditional-trade; pickup; premium-partner; regular-dealer,Mo: |07:00 - 18:00 Uhr | Di: |07:00 - 18:00 Uhr | Mi: |07:00 - 18:00 Uhr | Do: |07:00 - 18:00 Uhr | Fr: |07:00 - 18:00 Uhr | Sa: |07:30 - 13:00 Uhr,Mo: |07:00 - 18:00 Uhr | Di: |07:00 - 18:00 Uhr | Mi: |07:00 - 18:00 Uhr | Do: |07:00 - 18:00 Uhr | Fr: |07:00 - 18:00 Uhr | Sa: |07:30 - 13:00 Uhr,"47.20000,5.50000"
C045210,Götz + Moriz GmbH,https://www.goetzmoriz.com/,Im Kleinfeldele 6-10,,79359,Riegel,,DE,+497642921190,riegel@goetzmoriz.com,,,48.157695,7.748333,199158,,regular_dealer,True,True,False,,,False,,,construction; credit-card; expert-powertools; express; invoice; offline-traditional-trade; pickup; premium-partner; regular-dealer,Mo: |07:00 - 18:00 Uhr | Di: |07:00 - 18:00 Uhr | Mi: |07:00 - 18:00 Uhr | Do: |07:00 - 18:00 Uhr | Fr: |07:00 - 18:00 Uhr | Sa: |08:00 - 13:00 Uhr,Mo: |07:00 - 18:00 Uhr | Di: |07:00 - 18:00 Uhr | Mi: |07:00 - 18:00 Uhr | Do: |07:00 - 18:00 Uhr | Fr: |07:00 - 18:00 Uhr | Sa: |08:00 - 13:00 Uhr,"47.20000,5.50000"
