dealer_id,name,website,street,street2,zip,city,province,country,phone,email,fax,mobile,latitude,longitude,distance_m,rank,retailer_types,premium_partner,expert,premium_flagship,delivery_types,payment_methods,open_now,closes_at,benefits,badges,shop_hours,service_hours,found_via_query
C058815,ONUBA DE FERRETERIA,https://www.onufer.es/,"ENCINA SOLA, 2",,21440,LEPE,HUELVA,ES,+34959223511,,,,37.263367,-7.198239,248813,,regular_dealer,True,True,False,,,False,,,expert-powertools; premium-partner; regular-dealer,,,"36.00000,-9.50000"
C058814,ONUBA DE FERRETERIA,https://www.onufer.es/,"POLÍGONO INDUSTRIAL MENAJA, 1 BAJO",,21007,HUELVA,HUELVA,ES,+34959381269,,,,37.268518,-6.958821,267011,,regular_dealer,True,True,False,,,False,,,expert-powertools; premium-partner; regular-dealer,L: |07:00 - 16:00 H | M: |07:00 - 16:00 H | X: |07:00 - 16:00 H | J: |07:00 - 16:00 H | V: |07:00 - 16:00 H | S: |07:00 - 13:00 H | D: |Cerrado,L: |07:00 - 16:00 H | M: |07:00 - 16:00 H | X: |07:00 - 16:00 H | J: |07:00 - 16:00 H | V: |07:00 - 16:00 H | S: |07:00 - 13:00 H | D: |Cerrado,"36.00000,-9.50000"
C084752,COMERCIAL ROLDAN ONUBENSE,https://roldanmaquinarias.com,"AVENIDA CRISTOBAL COLON, 132",,21002,HUELVA,HUELVA,ES,+34959242836,info@roldanmaquinarias.com,,,37.272584,-6.949725,267934,,TRADITIONAL_TRADE; regular_dealer,True,True,False,,,False,,,expert-powertools; offline-traditional-trade; premium-partner; regular-dealer,L: |08:30 - 13:30 H y 16:00 - 19:00 H | M: |08:30 - 13:30 H y 16:00 - 19:00 H | X: |08:30 - 13:30 H y 16:00 - 19:30 H | J: |08:30 - 13:30 H y 16:00 - 19:00 H | V: |08:30 - 13:30 H y 16:00 - 19:00 H | S: |10:00 - 13:30 H | D: |Cerrado,L: |08:30 - 13:30 H y 16:00 - 19:00 H | M: |08:30 - 13:30 H y 16:00 - 19:00 H | X: |08:30 - 13:30 H y 16:00 - 19:30 H | J: |08:30 - 13:30 H y 16:00 - 19:00 H | V: |08:30 - 13:30 H y 16:00 - 19:00 H | S: |10:00 - 13:30 H | D: |Cerrado,"36.00000,-9.50000"
C148687,COMERCIAL ROLDAN ONUBENSE,https://roldanmaquinarias.com,"AVENIDA DEL JAMÓN, 54",POLÍGONO HUELVA EMPRESARIAL,21007,HUELVA,HUELVA,ES,+34959282283,info@roldanmaquinarias.com,,,37.310068,-6.873928,275828,,regular_dealer,True,True,False,,,False,,,expert-powertools; premium-partner; regular-dealer,L: |08:30 - 13:30 H y 16:00 - 19:00 H | M: |08:30 - 13:30 H y 16:00 - 19:00 H | X: |08:30 - 13:30 H y 16:00 - 19:30 H | J: |08:30 - 13:30 H y 16:00 - 19:00 H | V: |08:30 - 13:30 H y 16:00 - 19:00 H | S: |10:00 - 13:30 H | D: |Cerrado,L: |08:30 - 13:30 H y 16:00 - 19:00 H | M: |08:30 - 13:30 H y 16:00 - 19:00 H | X: |08:30 - 13:30 H y 16:00 - 19:30 H | J: |08:30 - 13:30 H y 16:00 - 19:00 H | V: |08:30 - 13:30 H y 16:00 - 19:00 H | S: |10:00 - 13:30 H | D: |Cerrado,"36.00000,-9.50000"
C058903,SUMINISTROS INDUSTRIALES RAME,https://www.suministrosrame.com,"LUXEMBURGO, 1",POLIGONO INDUSTRIAL EL TROCADERO,11510,PUERTO REAL,CÁDIZ,ES,+34956264659,comercial@rame.es,,,36.522791,-6.210419,300585,,regular_dealer,True,True,False,,,False,,,expert-powertools; premium-partner; regular-dealer,,,"36.00000,-9.50000"
C058665,FERRETERÍA XEREZ,https://ferreteriaxerez.com/,"CARRETERA SANLUCAR, KM 1",PARQUE EMPRESARIAL OESTE,11408,JEREZ DE LA FRONTERA (CADIZ),CÁDIZ,ES,+34956325100,info@ferreteriaxerez.com,,,36.680719,-6.158434,308689,,regular_dealer,True,True,False,,,False,,,expert-powertools; premium-partner; regular-dealer,L: |07:30 - 15:00 H y 18:00 - 20:00 H | M: |07:30 - 15:00 H y 18:00 - 20:00 H | X: |07:30 - 15:00 H y 18:00 - 20:00 H | J: |07:30 - 15:00 H y 18:00 - 20:00 H | V: |07:30 - 15:00 H y 18:00 - 20:00 H | S: |09:00 - 14:00 H | D: |Cerrado,L: |07:30 - 15:00 H y 18:00 - 20:00 H | M: |07:30 - 15:00 H y 18:00 - 20:00 H | X: |07:30 - 15:00 H y 18:00 - 20:00 H | J: |07:30 - 15:00 H y 18:00 - 20:00 H | V: |07:30 - 15:00 H y 18:00 - 20:00 H | S: |09:00 - 14:00 H | D: |Cerrado,"36.00000,-9.50000"
C068946,SUMINISTROS INDUSTRIALES SHERRY SUR,https://www.sherrysur.com,"CALLE AMIANTO, 9",,11405,JEREZ DE LA FRONTERA,CÁDIZ,ES,+34856058822,ignacio@sherrysur.com,,,36.698637,-6.114351,312972,,regular_dealer,True,True,False,,,False,,,expert-powertools; premium-partner; regular-dealer,L: |07:00 - 15:00 H | M: |07:00 - 15:00 H | X: |07:00 - 15:00 H | J: |07:00 - 15:00 H | V: |07:00 - 15:00 H | S: |09:00 - 14:00 H | D: |Cerrado,L: |07:00 - 15:00 H | M: |07:00 - 15:00 H | X: |07:00 - 15:00 H | J: |07:00 - 15:00 H | V: |07:00 - 15:00 H | S: |09:00 - 14:00 H | D: |Cerrado,"36.00000,-9.50000"
C084753,SUMINISTROS INDUSTRIALES HERBI,https://suministrosherbi.com/,"AVENIDA JOSÉ MARÍA TOMASSETTI, 59",,41740,LEBRIJA,SEVILLA,ES,+34955972918,web@suministrosherbi.com,,,36.920446,-6.064954,323760,,regular_dealer,True,True,False,,,False,,,expert-powertools; premium-partner; regular-dealer,L: |08:00 - 14:00 H y 16:00 - 20:00 H | M: |08:00 - 14:00 H y 16:00 - 20:00 H | X: |08:00 - 14:00 H y 16:00 - 20:00 H | J: |08:00 - 14:00 H y 16:00 - 20:00 H | V: |08:00 - 14:00 H y 16:00 - 20:00 H | S: |08:30 - 14:00 H | D: |Cerrado,L: |08:00 - 14:00 H y 16:00 - 20:00 H | M: |08:00 - 14:00 H y 16:00 - 20:00 H | X: |08:00 - 14:00 H y 16:00 - 20:00 H | J: |08:00 - 14:00 H y 16:00 - 20:00 H | V: |08:00 - 14:00 H y 16:00 - 20:00 H | S: |08:30 - 14:00 H | D: |Cerrado,"36.00000,-9.50000"
C250999,RUBIX IBERIA (MAIRENA ALJAR),https://es.rubix.com/,"POLÍGONO INDUSTRIAL PISA. CALLE CONGRESO, 2",,41927,MAIRENA DEL ALJARAFE,,ES,+34954254244,,,,37.352737,-6.067115,341055,,regular_dealer,True,True,False,,,False,,,expert-powertools; premium-partner; regular-dealer,,,"36.00000,-9.50000"
C058682,GOIPE SEVILLA,https://www.goipe.com/,"PINCEL, 31. PARQUE INDUSTRIAL NUEVO CALONGE",PARQUE INDUSTRIAL NUEVO CALONGE,41007,SEVILLA,SEVILLA,ES,+34954355318,sevilla@goipe.com,,,37.415828,-5.951654,353274,,regular_dealer,True,True,False,,,False,,,expert-powertools; premium-partner; regular-dealer,L: |08:00 - 19:00 H | M: |08:00 - 19:00 H | X: |08:00 - 19:00 H | J: |08:00 - 19:00 H | V: |08:00 - 19:00 H | S: |Cerrado | D: |Cerrado,L: |08:00 - 19:00 H | M: |08:00 - 19:00 H | X: |08:00 - 19:00 H | J: |08:00 - 19:00 H | V: |08:00 - 19:00 H | S: |Cerrado | D: |Cerrado,"36.00000,-9.50000"
