dealer_id,name,website,street,street2,zip,city,province,country,phone,email,fax,mobile,latitude,longitude,distance_m,rank,retailer_types,premium_partner,expert,premium_flagship,delivery_types,payment_methods,open_now,closes_at,benefits,badges,shop_hours,service_hours,found_via_query
C197814,TEREVA,,152 RUE BELHARRA,,64500,SAINT JEAN DE LUZ,,FR,,,,,43.410024,-1.618497,376295,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"41.30000,-5.20000"
C074755,PORTALET QUINC. AG.B,,ZA MAYSONNABE 8 ALL.M.POLITZER,,64200,BIARRITZ,,FR,,,,,43.469278,-1.542084,385199,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"41.30000,-5.20000"
C074784,FOUSSIER ANGLET,https://foussier.fr/nos-magasins-et-points-de-retrait/foussier-anglet/116,7 ALLEE DIDIER DAURAT,,64600,ANGLET,,FR,,,,,43.464787,-1.501727,387485,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,Lu: |07:30 - 12:00 heure et 13:30 - 17:00 heure | Ma: |07:30 - 12:00 heure et 13:30 - 17:00 heure | Me: |07:30 - 12:00 heure et 13:30 - 17:00 heure | Je: |07:30 - 12:00 heure et 13:30 - 17:00 heure | Ve: |07:30 - 12:00 heure et 13:30 - 16:00 heure | Sa: fermée | Di: fermée,Lu: |07:30 - 12:00 heure et 13:30 - 17:00 heure | Ma: |07:30 - 12:00 heure et 13:30 - 17:00 heure | Me: |07:30 - 12:00 heure et 13:30 - 17:00 heure | Je: |07:30 - 12:00 heure et 13:30 - 17:00 heure | Ve: |07:30 - 12:00 heure et 13:30 - 16:00 heure | Sa: fermée | Di: fermée,"41.30000,-5.20000"
C249992,DC PLASTIQUES,,21-23 ROUTE DE PITOYS - ZA MAIGNON,,64600,ANGLET,,FR,,,,,43.484941,-1.505159,388623,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"41.30000,-5.20000"
C250779,MABEO INDUSTRIES,,ZI DES PONTOTS 8 ALLEE DU CANAL,,64600,ANGLET,,FR,,,,,43.495602,-1.495394,389969,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"41.30000,-5.20000"
C074781,MPS  AGENCE D'ANGLET,https://prolians.fr/?utm_source=GMB&utm_medium=organic,8 RUE DU PONT DE L'AVEUGLE ZI JORLI,,64600,ANGLET,,FR,,,,,43.499703,-1.494732,390289,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"41.30000,-5.20000"
C074729,BERNARD PAGES AG.D'A,,21 BIS B GOMEZ ZI PONT ST FREDERIC,,64100,BAYONNE,,FR,,,,,43.487065,-1.455477,391956,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"41.30000,-5.20000"
C151545,QUINCAILLERIE SETIN,,ZA ST FREDERIC 9 RUE DE LA TILLOLE,,64100,BAYONNE,,FR,,,,,43.489653,-1.455734,392113,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"41.30000,-5.20000"
C073470,QUINCAILLERIE PORTAL,,41 RUE DE LA CHALOSSE,,40990,MEES,,FR,,,,,43.722543,-1.061203,433067,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"41.30000,-5.20000"
C073441,RUBIX ATLANTIQUE,,7 ROUTE DE BOYS,,40180,NARROSSE,,FR,,,,,43.699257,-1.030634,433484,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"41.30000,-5.20000"
