dealer_id,name,website,street,street2,zip,city,province,country,phone,email,fax,mobile,latitude,longitude,distance_m,rank,retailer_types,premium_partner,expert,premium_flagship,delivery_types,payment_methods,open_now,closes_at,benefits,badges,shop_hours,service_hours,found_via_query
C160326,KRAB,http://www.krab-sklep.pl,ZAJĘCZA 4,,57-300,KŁODZKO,,PL,+48 74 86 72 268,klodzko@ctkrab.eu,,,50.445753,16.631358,248203,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,14.00000"
C094023,SAMAR,,Józefa Cygana 4,,45-131,OPOLE,,PL,774428850,biuro@samar.opole.pl,,,50.691298,17.915991,248818,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"49.00000,15.64310"
C160339,MECHANIKA SILNIKOWA I POJAZDOWA,,DUNIKOWSKIEGO 24,,47-205,KĘDZIERZYN KOŹLE,,PL,774826341,,,,50.338645,18.158664,234335,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"49.00000,15.64310"
C160327,KRAB,http://www.krab-sklep.pl,BOLESŁAWA ŚMIAŁEGO 5,,48-300,NYSA,,PL,+48 77 40 90 880,zamowienia@ctkrab.eu,,,50.475079,17.346054,204624,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,15.64310"
C066277,WROŻA-MAZUR KATARZYNA,,NIEMODLIŃSKA 18,,47-364,STRZELECZKI,,PL,,,,,50.470614,17.848021,227676,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,15.64310"
C116612,PREMIUM-TOOLS,,NIEMODLIŃSKA 18,,47-364,STRZELECZKI,,PL,774669772,,,,50.470614,17.848021,227676,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,15.64310"
C160358,Przedsiębiorstwo el12 sp. z o.o.,https://el12.com/pl/,Św. Anny 5,,45-117,Opole,,PL,+48 12 269 12 12,info@el12.pl,,,50.68473,17.913013,248134,,ONLINE_PURE_PLAYER; regular_dealer,False,False,False,,BANK_TRANSFER; MOBILE; PAYMENT_IN_ADVANCE; PAYPAL,False,,,regular-dealer,,,"49.00000,15.64310"
C093548,MICROMAXX,,DOBRAWY 2,,47-232,KĘDZIERZYN KOŹLE,,PL,774821587,,,,50.353863,18.237572,239783,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,15.64310"
C093563,BEST SERWIS ELEKTRON,,SNOPOWA 16,,44-141,GLIWICE-BOJKOW,,PL,322329619,,,,50.252037,18.702087,172562,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"49.00000,17.28621"
C248463,POLWELT Sp. z o.o.,,ul. Księdza Karola Szojdy 3,,43-100,TYCHY,,PL,,,,,50.090088,19.008792,173587,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"49.00000,17.28621"
C160300,ELTRO,,WRÓBLEWSKIEGO 11A,,40-214,KATOWICE,,PL,323555720,,,,50.26471,19.043484,189172,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"49.00000,17.28621"
C066265,SEMEX,,JAGIELLOŃSKA 104,,42-202,CZĘSTOCHOWA,,PL,34 39 06 700,,,,50.789376,19.103553,237743,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"49.00000,17.28621"
C160278,CELMAX,,JAGIELLOŃSKA 59/65,,42-200,CZĘSTOCHOWA,,PL,343660770,,,,50.784119,19.127349,238197,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"49.00000,17.28621"
C094004,ELEKTROMECH,,PIŁSUDSKIEGO 50,,42-400,ZAWIERCIE,,PL,326711836,,,,50.491336,19.43996,226789,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"49.00000,17.28621"
C066236,KUPCZYK Sp. J.,,JANOWA WOLA 6,,30-550,KRAKÓW,,PL,126563232,kupczyk-spj@kupczyk.pl,,,50.047022,19.956731,225159,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"49.00000,17.28621"
C160340,MENSURA Sp. z o.o.,https://www.mensura.pl,Warszawaska 9A,,32-086,Węgrzce,,PL,124192978,,,,50.11254,19.965475,229431,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"49.00000,17.28621"
C117300,EUROWALDI ELEKTRONARZĘDZIA,,Ogłęczyzna 20A,,31-589,Kraków,,PL,+48 690 245 702,biuro@eurowaldi.pl,,,50.058966,20.024208,229996,,regular_dealer,False,True,False,,,False,,,expert-powertools; regular-dealer,,,"49.00000,17.28621"
C115129,MAZUR S.C.,,WODZISŁAWSKA 79 A,,44-325,MSZANA,,PL,324751896,,,,49.983999,18.508798,140592,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,17.28621"
C160353,PROFI-IMPEX,,BIELSKA 114,,43-300,CIESZYN,,PL,338511152,,,,49.751814,18.665112,130199,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,17.28621"
C066241,MAZUR S.C.,,MAZOWIECKA 2,,44-335,JASTRZĘBIE ZDRÓJ,,PL,324719610,,,,49.947482,18.599332,141768,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,17.28621"
C128586,AURORA TOOLS,,PATRIOTÓW 27C/1,,44-253,RYBNIK,,PL,692377403,,,,50.048196,18.59842,150173,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,17.28621"
C160357,PROTECH,,KOLONOWA 8,,44-207,RYBNIK,,PL,324246544,,,,50.126354,18.549867,154882,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,17.28621"
C160256,A/B/C,,Strażacka 37,,43-382,BIELSKO-BIAŁA,,PL,601776639,,,,49.821226,18.973867,152453,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,17.28621"
C248460,F.H.U. PIOMAT Piotr,,Uzdrowiskowa 5a,,43-230,Goczałkowice Zdrój,,PL,,,,,49.960136,18.965001,161564,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,17.28621"
C160377,TECHMET,,KONSTYTUCJI 3-MAJA 69,,43-160,MIKOŁOW,,PL,322262699,,,,50.164431,18.893675,173750,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,17.28621"
C066274,UNIKOL  SP. Z O.O.,,HAGERA 17,,41-800,ZABRZE,,PL,322784141,,,,50.317111,18.79589,182351,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,17.28621"
C160352,POL-WELT,,JORDANA 73,,43-100,TYCHY,,PL,,,,,50.097363,18.999807,173684,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,17.28621"
C248456,Katoda,,Ptakowicka 1,,41-936,Bytom,,PL,,,,,50.387923,18.812464,189374,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,17.28621"
C131145,TADO,,POKOJU 17,,40-859,KATOWICE,,PL,322584449,,,,50.265528,18.987187,186553,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,17.28621"
C115771,BUDOHIT SP. Z O.O.,,ROŹDZIEŃSKIEGO 188 A,,40-203,KATOWICE,,PL,322091190,,,,50.266645,19.058413,190050,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,17.28621"
C160343,MODERN SERVICE,,OSADA 6 B,,41-403,CHEŁM ŚLĄSKI,,PL,,,,,50.09269,19.187116,183205,,regular_dealer,False,False,False,,,False,,,regular-dealer,,,"49.00000,17.28621"
