id,name,address,city,state,zip,phone,lat,lng,is_claimed,timezone,slug,dealer_page_url
289536,AIH Alaska Industrial Hardware Inc,8801 Old Seward Hwy,Anchorage,AK,99515,(907) 276-7201,61.14085075,-149.85933190,0,America/Anchorage,,
308393,AIH Alaska Industrial Hardware Inc,2716 Commercial Dr,Anchorage,AK,99501,(907) 272-1441,61.22188625,-149.82988470,0,America/Anchorage,,
124108,Alaska Industrial Hardware Inc.,5655 Old Seward Hwy,Anchorage,AK,99503,(907) 561-1781,61.22375080,-149.84018500,0,America/Chicago,,
371488,Hardware Specialties Inc.,424 W 54th Ave,Anchorage,AK,99518,(907) 563-1312,61.17145480,-149.89083090,0,America/Anchorage,,
390468,Sherwin-Williams Paint Store,401 W International Airport Rd Ste 1A,Anchorage,AK,99518,(907) 562-5828,61.17417504,-149.89456679,0,America/Anchorage,,
383694,Yes Paint Store,7120 Old Seward Hwy Ste 100,Anchorage,AK,99518,(907) 644-4448,61.15596760,-149.86508045,0,America/Anchorage,,
124112,Alaska Industrial Hardware Inc.,12340 Old Glenn Hwy,Eagle River,AK,99577,(907) 694-2988,61.33196200,-149.56694000,0,America/Chicago,,
124110,Alaska Industrial Hardware Inc.,2951 Airport Way,Fairbanks,AK,99709,(907) 452-4788,64.83599800,-147.78778320,0,America/Chicago,,
124109,AIH Alaska Industrial Hardware Inc.,2093 Jordan Ave,Juneau,AK,99801,(907) 790-3300,58.36242275,-134.58029160,0,America/Chicago,,
124111,Alaska Industrial Hardware Inc.,193 Bridge Access Rd,Kenai,AK,99611,(907) 283-3531,60.55624740,-151.23794590,0,America/Chicago,,
124106,Alaska Industrial Hardware Inc,751 W Commercial Dr,Wasilla,AK,99654,(907) 376-5274,61.58228800,-149.47062290,0,America/Chicago,,
386166,Sherwin-Williams Paint Store,595 E Swanson Ave,Wasilla,AK,99654,(907) 373-2384,61.58349650,-149.43596320,0,America/Anchorage,,
371639,Richelieu Birmingham,3912 2nd Ave S,Birmingham,AL,35222,(205) 595-4655,33.52398055,-86.77669925,0,America/Chicago,,
371717,Rozars Architectural Paints,3507 6th Ct S,Birmingham,AL,35222,(205) 320-2696,33.51689140,-86.77923705,0,America/Chicago,,
385858,Sherwin-Williams Paint Store,1003 US-98 E A,Daphne,AL,36526,(251) 626-7419,30.59178295,-87.89847380,0,America/Chicago,,
486563,Sherwin Williams - Decatur,1820 6th Ave SE Ste V,Decatur,AL,35601,(256) 353-4602,34.57654115,-86.97441284,0,America/Chicago,,
273298,Brackin Paint \u0026 Supply,725 S Oates St,Dothan,AL,36301,(334) 793-4330,31.21528460,-85.39266810,0,America/Chicago,,
371351,BMG Direct Inc,22442 Doc McDuffie Rd,Foley,AL,36535,(251) 962-3752,30.38679850,-87.64222400,0,America/Chicago,,
244295,Gulf Coast Tools Inc,1705 S McKenzie St #1,Foley,AL,36535,(251) 970-5505,30.38775930,-87.68266340,0,America/Kentucky/Monticello,,
385930,Sherwin-Williams Paint Store,4942 Memorial Pkwy NW,Huntsville,AL,35810,(256) 851-5915,34.78987425,-86.57774970,0,America/Chicago,,
486567,Sherwin-Williams Madison - South,8982 Madison Blvd,Madison,AL,35758,(256) 464-3579,34.67605790,-86.75442405,0,America/Chicago,,
486565,Sherwin Williams - Mobile - Airport,3853A Airport Blvd,Mobile,AL,36608,(251) 343-0891,30.67531725,-88.14296340,0,America/Chicago,,
386040,Sherwin-Williams Paint Store,6466 US-431 Ste 2,Owens Cross Roads,AL,35763,(256) 539-1306,34.58814610,-86.45887680,0,America/Chicago,,
371831,Woodcraft of Birmingham,2975 Pelham Pkwy,Pelham,AL,35124,(205) 988-3600,33.29768720,-86.81003045,0,America/Chicago,,
386152,Sherwin-Williams Paint Store,230 15th St E,Tuscaloosa,AL,35401,(205) 759-4216,33.19845248,-87.53595570,0,America/Chicago,,
273374,THE PAINT SPOT,501 15th St,Tuscaloosa,AL,35401,(205) 345-9797,33.19833645,-87.54170150,0,America/Chicago,,
371349,Bladerunner Tool \u0026 Hardwood,11728 US-231,Wetumpka,AL,36092,(334) 514-9831,32.59799265,-86.21391460,0,America/Chicago,,
385801,Sherwin-Williams Paint Store,3301 SW Municipal Dr Unit 13,Bentonville,AR,72712,(479) 271-7584,36.33870445,-94.21587005,0,America/Chicago,,
385868,Sherwin-Williams Paint Store,1620 N West Ave,El Dorado,AR,71730,(870) 863-3535,33.22829220,-92.66611340,0,America/Chicago,,
371573,Mark's Machinery \u0026 More,2210 Towson Ave,Fort Smith,AR,72901,(479) 461-5079,35.36235365,-94.42231105,0,America/Chicago,,
371631,Plunkett Distributing,1010 S Y St,Fort Smith,AR,72901,(479) 782-2190,35.35905835,-94.42440395,0,America/Chicago,,
371630,Plunkett Distributing,2323 E Roosevelt Rd,Little Rock,AR,72206,(501) 565-4548,34.72109440,-92.24559890,0,America/Chicago,,
371760,Timberwolf Sawmill,219 E Locust St,Rogers,AR,72756,(479) 799-1751,36.33825870,-94.11369135,0,America/Chicago,,
386126,Sherwin-Williams Paint Store,3855 Treat Ln,Springdale,AR,72762,(479) 751-2721,36.18438200,-94.17262915,0,America/Chicago,,
371832,Woodcraft of Phoenix,3002 N Arizona Ave #12,Chandler,AZ,85225,(480) 539-9663,33.35072375,-111.84296105,0,America/Phoenix,,
390506,Sherwin-Williams Paint Store,455 S Main St,Cottonwood,AZ,86326,(928) 649-2699,34.73103295,-112.00930495,0,America/Phoenix,,
390534,Sherwin-Williams Paint Store,1848 E Rte 66,Flagstaff,AZ,86004,(928) 526-0067,35.19702200,-111.62342000,0,America/Phoenix,,
506053,Sherwin-Williams Paint Store,2473 S Higley Rd #108,Gilbert,AZ,85295,(480) 279-5811,33.30577585,-111.72052535,0,America/Phoenix,,
428346,Sherwin-Williams Paint Store,4370 Stockton Hill Rd,Kingman,AZ,86409,(928) 681-4255,35.25050760,-114.03841735,0,America/Phoenix,,
390564,Sherwin-Williams Paint Store,5435 AZ-260,Lakeside,AZ,85929,(928) 532-7888,34.18942400,-110.01513870,0,America/Phoenix,,
371759,Timber Woodworking Machinery,935 E Southern Ave,Mesa,AZ,85204,(480) 926-2131,33.39288555,-111.81045865,0,America/Phoenix,,
390610,Sherwin-Williams Paint Store,10605 N Oracle Rd,Oro Valley,AZ,85737,(520) 475-5595,32.39929090,-110.95723560,0,America/Phoenix,,
272693,Arizona Paint Supply,4659 E Cactus Rd #3A08,Phoenix,AZ,85032,(480) 757-2000,33.59815505,-111.98165790,0,America/Phoenix,,
506050,Dunn-Edwards Paints,233 E Camelback Rd,Phoenix,AZ,85012,(602) 263-9132,33.50901470,-112.06970215,0,America/Phoenix,,
371701,Rockler Woodworking and Hardware,4626 E Thunderbird Rd,Phoenix,AZ,85032,(602) 996-3488,33.61208410,-111.98113155,1,America/Phoenix,,
371859,Woodworkers Source,18115 N Black Cyn Hwy,Phoenix,AZ,85023,(602) 504-1931,33.65007610,-112.11401030,0,America/Phoenix,,
390628,Sherwin-Williams Paint Store,435 Miller Valley Rd,Prescott,AZ,86301,(928) 771-9511,34.54812595,-112.47709230,0,America/Phoenix,,
371522,Indivisible Hardwoods + Creative Customs,16097 N 82nd St,Scottsdale,AZ,85260,(480) 999-9663,33.63185250,-111.90318560,0,America/Phoenix,,
242213,US Industrial Fastener of Arizona,2026 E Cedar St,Tempe,AZ,85281,(480) 967-8702,33.41238180,-111.89812640,0,America/Phoenix,,
371860,Woodworkers Source,645 W Elliot Rd,Tempe,AZ,85284,(480) 355-5090,33.34916890,-111.94897525,0,America/Phoenix,,
170857,Sherwin-Williams Paint Store,5683 N Swan Rd,Tucson,AZ,85718,(520) 232-9793,32.30999960,-110.89317440,0,America/Chicago,,
371861,Woodworkers Source,3441 S Palo Verde Rd,Tucson,AZ,85713,(520) 745-8301,32.18473830,-110.91718770,0,America/Phoenix,,
454717,Llewellyn Marine Supply,2900 Main St,Alameda,CA,94501,(510) 522-2886,37.79022900,-122.29336100,0,America/Los_Angeles,,
273755,East Bay Paint Center,990 San Pablo Ave,Albany,CA,94706,(510) 524-6582,37.88766780,-122.29832106,0,America/Los_Angeles,,
371459,Ganahl Lumber,1220 E Ball Rd,Anaheim,CA,92805,(714) 772-5444,33.81679650,-117.89432450,0,America/Los_Angeles,,
371317,Almquist Lumber,5301 Boyd Rd,Arcata,CA,95521,(707) 825-8880,40.91157225,-124.06741385,0,America/Los_Angeles,,
274361,Warehouse Paint,200 Palm Ave,Auburn,CA,95603,(530) 885-7914,38.90761120,-121.07613480,0,America/Los_Angeles,,
428329,Bakersfield Paint Benjamin Moore,3435 Landco Dr,Bakersfield,CA,93308,(661) 374-4565,35.39100995,-119.05948245,0,America/Los_Angeles,,
408792,Sherwin-Williams Paint Store,1495 E 2nd St,Beaumont,CA,92223,(951) 381-7778,33.92296100,-116.95428700,0,America/Los_Angeles,,
274079,Gray's Paint,601 Ralston Ave,Belmont,CA,94002,(650) 345-0800,37.52141240,-122.27432765,0,America/Los_Angeles,,
275398,MacBeath Hardwood,930 Ashby Ave,Berkeley,CA,94710,(510) 843-4390,37.85123540,-122.28995015,0,America/Los_Angeles,,
390479,Sherwin-Williams Paint Store,3131 San Pablo Ave,Berkeley,CA,94702,(510) 428-1918,37.85037525,-122.28584735,0,America/Los_Angeles,,
291995,Truitt \u0026 white lumber,1817 Second St,Berkeley,CA,94710,(510) 841-0511,37.86979865,-122.30119802,0,America/Los_Angeles,,
371863,Wurth Louis and Company,895 Columbia St,Brea,CA,92821,(714) 529-1771,33.93116170,-117.91141845,0,America/Los_Angeles,,
385815,Sherwin-Williams Paint Store,3111 Balfour Rd Ste W,Brentwood,CA,94513,(925) 513-6519,37.92615135,-121.72325445,0,America/Los_Angeles,,
408790,Sherwin-Williams Paint Store,8061 Orangethorpe Ave,Buena Park,CA,90621,(714) 522-0311,33.85952455,-117.99263565,0,America/Los_Angeles,,
371414,Direct Tools \u0026 Fasteners,1000 N Lake St,Burbank,CA,91502,(818) 736-5100,34.18513490,-118.32046580,0,America/Los_Angeles,,
371763,Tool Time,2713 W Burbank Blvd,Burbank,CA,91505,(818) 841-2800,34.17808370,-118.34104120,0,America/Los_Angeles,,
274081,Gray's Paint,783 California Dr,Burlingame,CA,94010,(650) 343-6535,37.58278840,-122.35313375,0,America/Los_Angeles,,
274308,Benjamin Moore - South Bay Paints,3487 S Bascom Ave,Campbell,CA,95008,(408) 399-4500,37.26272690,-121.94522640,0,America/Los_Angeles,,
390490,Sherwin-Williams Paint Store,1825 S Bascom Ave,Campbell,CA,95008,(408) 377-4682,37.29040765,-121.93214905,0,America/Los_Angeles,,
273687,Benjamin Moore - Catalina Paint Canoga Park,6941 CA-27,Canoga Park,CA,91303,(818) 347-7775,34.19683750,-118.60621850,0,America/Los_Angeles,,
371770,Valley Supply,7036 Deering Ave,Canoga Park,CA,91303,(818) 340-2630,34.19851000,-118.59626905,0,America/Los_Angeles,,
274112,King's Paint \u0026 Paper,1220 41st Ave C,Capitola,CA,95010,(831) 462-1824,36.96965820,-121.96414525,0,America/Los_Angeles,,
371450,Fisk Paints and Stains and Coatings,26542 Carmel Rancho Blvd,Carmel-By-The-Sea,CA,93923,(831) 574-8846,36.54183405,-121.90620440,0,America/Los_Angeles,,
371520,Hughes Hardwoods,13586 CA-99,Chico,CA,95973,(530) 343-8746,39.79594170,-121.90075830,0,America/Los_Angeles,,
390497,Sherwin-Williams Paint Store,2412 Cohasset Rd Ste A,Chico,CA,95926,(530) 342-0147,39.75840610,-121.84298495,0,America/Los_Angeles,,
274291,Shilpark Paint,897 Broadway,Chula Vista,CA,91911,(619) 498-4820,32.61772555,-117.08394605,0,America/Los_Angeles,,
274367,Warehouse Paint,8113 Auburn Blvd,Citrus Heights,CA,95610,(916) 722-7454,38.71349870,-121.29093630,0,America/Los_Angeles,,
390560,Sherwin-Williams Paint Store,1215 N Willow Ave Ste 100,Clovis,CA,93619,(559) 322-6712,36.85262700,-119.72789700,0,America/Toronto,,
371563,Lee's Tools,1924 N Long Beach Blvd,Compton,CA,90221,(310) 639-1900,33.90901430,-118.20803285,0,America/Los_Angeles,,
371471,Golden State Lumber,1080 Burnett Ave,Concord,CA,94520,(925) 326-2700,37.97621680,-122.05890805,0,America/Los_Angeles,,
371685,Rockler Woodworking and Hardware,4420 Treat Blvd,Concord,CA,94521,(925) 521-1800,37.96219690,-121.99365520,1,America/Los_Angeles,,
390502,Sherwin-Williams Paint Store,1776 Arnold Industrial Way,Concord,CA,94520,(925) 691-5081,38.00224330,-122.05190950,0,America/Los_Angeles,,
